0.396,0.167,0.295,0.143
0.382,0.176,0.274,0.167
0.429,0.113,0.294,0.164
0.440,0.110,0.131,0.319
0.399,0.069,0.254,0.278
0.320,0.165,0.335,0.180
0.397,0.165,0.219,0.220
0.452,0.084,0.249,0.215
0.447,0.083,0.242,0.228
0.359,0.313,0.205,0.123
0.484,0.120,0.221,0.175
0.563,0.098,0.140,0.199
0.380,0.182,0.278,0.161
0.364,0.078,0.236,0.321
0.434,0.107,0.249,0.210
0.402,0.120,0.278,0.201
0.244,0.188,0.297,0.271
0.339,0.147,0.385,0.128
0.373,0.105,0.323,0.200
0.376,0.226,0.198,0.200
0.460,0.132,0.255,0.153
0.351,0.174,0.241,0.234
0.441,0.120,0.215,0.224
0.562,0.150,0.164,0.125
0.478,0.091,0.201,0.230
0.455,0.189,0.201,0.155
0.463,0.105,0.235,0.197
0.396,0.142,0.250,0.212
0.440,0.102,0.245,0.214
0.321,0.140,0.284,0.255
0.376,0.190,0.230,0.205
0.388,0.218,0.198,0.196
0.365,0.131,0.242,0.263
0.436,0.083,0.278,0.202
0.329,0.128,0.330,0.213
0.264,0.206,0.317,0.214
0.380,0.166,0.319,0.135
0.334,0.151,0.309,0.206
0.452,0.126,0.164,0.258
0.350,0.246,0.233,0.172
0.393,0.114,0.295,0.198
0.451,0.128,0.188,0.233
0.318,0.211,0.235,0.236
0.324,0.221,0.276,0.179
0.495,0.120,0.214,0.171
0.430,0.212,0.151,0.207
0.416,0.088,0.264,0.232
0.320,0.237,0.264,0.178
0.487,0.130,0.216,0.167
0.412,0.199,0.242,0.148
0.503,0.097,0.194,0.206
0.404,0.234,0.208,0.153
0.507,0.136,0.172,0.184
0.544,0.137,0.210,0.109
0.387,0.255,0.176,0.182
0.399,0.143,0.286,0.172
0.442,0.176,0.219,0.163
0.442,0.130,0.214,0.214
0.313,0.179,0.317,0.191
0.273,0.226,0.303,0.198
0.465,0.167,0.204,0.163
0.440,0.153,0.230,0.177
0.126,0.348,0.229,0.297
0.087,0.539,0.166,0.208
0.194,0.334,0.321,0.152
0.158,0.327,0.323,0.191
0.152,0.419,0.213,0.217
0.112,0.531,0.208,0.149
0.173,0.255,0.264,0.308
0.189,0.318,0.251,0.242
0.112,0.433,0.259,0.196
0.093,0.451,0.307,0.149
0.158,0.356,0.273,0.213
0.159,0.385,0.183,0.273
0.095,0.481,0.194,0.229
0.128,0.406,0.278,0.188
0.113,0.379,0.276,0.232
0.196,0.309,0.302,0.193
0.204,0.337,0.185,0.273
0.221,0.341,0.250,0.187
0.204,0.450,0.179,0.167
0.163,0.375,0.318,0.145
0.139,0.435,0.208,0.218
0.167,0.307,0.215,0.312
0.165,0.345,0.198,0.292
0.276,0.328,0.222,0.174
0.071,0.459,0.156,0.313
0.172,0.454,0.165,0.209
0.098,0.457,0.265,0.180
0.189,0.277,0.153,0.382
0.210,0.385,0.204,0.201
0.132,0.401,0.288,0.179
0.221,0.283,0.321,0.175
0.230,0.371,0.175,0.224
0.199,0.323,0.313,0.165
0.111,0.293,0.189,0.407
0.118,0.364,0.292,0.227
0.099,0.453,0.236,0.211
0.079,0.420,0.254,0.247
0.181,0.183,0.379,0.258
0.118,0.345,0.368,0.168
0.152,0.304,0.280,0.264
0.193,0.323,0.305,0.180
0.140,0.366,0.234,0.260
0.188,0.233,0.361,0.219
0.083,0.426,0.315,0.176
0.109,0.413,0.258,0.220
0.166,0.371,0.201,0.263
0.076,0.317,0.447,0.160
0.187,0.349,0.266,0.198
0.175,0.357,0.217,0.252
0.234,0.411,0.219,0.136
0.145,0.297,0.393,0.165
0.142,0.326,0.402,0.129
0.175,0.262,0.373,0.191
0.221,0.473,0.114,0.193
0.165,0.411,0.252,0.172
0.140,0.385,0.231,0.243
0.125,0.353,0.251,0.271
0.138,0.391,0.202,0.269
0.250,0.270,0.239,0.240
0.109,0.510,0.148,0.233
0.111,0.403,0.203,0.283
0.121,0.468,0.248,0.163
0.097,0.212,0.648,0.043
0.090,0.486,0.378,0.045
0.161,0.126,0.652,0.061
0.127,0.380,0.410,0.083
0.071,0.337,0.479,0.113
0.040,0.063,0.889,0.008
0.232,0.264,0.391,0.113
0.082,0.607,0.202,0.109
0.087,0.309,0.584,0.020
0.144,0.208,0.541,0.107
0.115,0.243,0.569,0.072
0.250,0.150,0.504,0.097
0.029,0.359,0.546,0.066
0.121,0.101,0.744,0.034
0.033,0.431,0.484,0.052
0.125,0.168,0.631,0.077
0.185,0.145,0.572,0.099
0.089,0.092,0.798,0.022
0.177,0.296,0.464,0.063
0.107,0.173,0.683,0.037
0.160,0.190,0.565,0.085
0.174,0.228,0.567,0.032
0.145,0.232,0.570,0.053
0.177,0.133,0.630,0.060
0.089,0.130,0.762,0.019
0.138,0.240,0.582,0.040
0.109,0.158,0.689,0.044
0.094,0.325,0.484,0.097
0.094,0.222,0.564,0.121
0.137,0.268,0.480,0.115
0.126,0.268,0.520,0.086
0.328,0.173,0.452,0.047
0.072,0.296,0.562,0.070
0.215,0.165,0.553,0.067
0.116,0.234,0.591,0.059
0.074,0.176,0.690,0.060
0.138,0.077,0.748,0.037
0.153,0.246,0.540,0.060
0.139,0.221,0.494,0.146
0.134,0.157,0.620,0.089
0.044,0.120,0.816,0.020
0.176,0.138,0.624,0.062
0.125,0.158,0.635,0.082
0.068,0.129,0.703,0.100
0.192,0.100,0.624,0.084
0.077,0.229,0.644,0.050
0.135,0.207,0.601,0.058
0.064,0.258,0.609,0.069
0.063,0.241,0.678,0.018
0.065,0.176,0.679,0.080
0.135,0.138,0.662,0.065
0.041,0.304,0.534,0.121
0.144,0.226,0.496,0.134
0.061,0.162,0.735,0.041
0.128,0.162,0.575,0.135
0.130,0.182,0.562,0.127
0.064,0.283,0.520,0.133
0.065,0.388,0.468,0.079
0.116,0.086,0.748,0.051
0.123,0.186,0.617,0.073
0.074,0.209,0.688,0.029
0.119,0.246,0.501,0.134
0.199,0.189,0.401,0.212
0.201,0.271,0.295,0.233
0.354,0.199,0.342,0.106
0.329,0.189,0.367,0.115
0.273,0.324,0.193,0.210
0.365,0.267,0.222,0.146
0.152,0.394,0.287,0.167
0.189,0.333,0.263,0.214
0.321,0.352,0.147,0.181
0.208,0.316,0.225,0.251
0.134,0.450,0.224,0.192
0.326,0.231,0.356,0.088
0.188,0.136,0.547,0.129
0.281,0.335,0.181,0.203
0.318,0.309,0.152,0.221
0.421,0.143,0.328,0.107
0.195,0.284,0.389,0.131
0.196,0.379,0.245,0.180
0.378,0.218,0.203,0.201
0.198,0.340,0.251,0.210
0.158,0.403,0.253,0.186
0.305,0.203,0.282,0.210
0.288,0.332,0.204,0.176
0.329,0.205,0.319,0.146
0.189,0.128,0.485,0.198
0.221,0.252,0.241,0.286
0.208,0.471,0.175,0.146
0.183,0.331,0.238,0.248
0.363,0.239,0.162,0.236
0.261,0.231,0.303,0.205
0.201,0.311,0.206,0.283
0.194,0.311,0.324,0.172
0.253,0.224,0.364,0.159
0.367,0.232,0.278,0.123
0.348,0.135,0.332,0.184
0.258,0.322,0.280,0.139
0.192,0.273,0.256,0.278
0.130,0.294,0.329,0.247
0.177,0.345,0.247,0.230
0.178,0.300,0.246,0.276
0.228,0.293,0.260,0.219
0.273,0.354,0.117,0.256
0.251,0.372,0.257,0.121
0.220,0.346,0.252,0.182
0.403,0.195,0.167,0.235
0.488,0.143,0.267,0.102
0.186,0.238,0.333,0.242
0.303,0.211,0.373,0.113
0.227,0.194,0.341,0.239
0.366,0.197,0.281,0.157
0.214,0.157,0.422,0.207
0.223,0.264,0.170,0.343
0.373,0.175,0.259,0.193
0.376,0.182,0.276,0.166
0.276,0.267,0.297,0.160
0.256,0.158,0.497,0.088
0.247,0.131,0.439,0.183
0.189,0.270,0.360,0.181
0.297,0.225,0.229,0.249
0.273,0.282,0.282,0.164
0.162,0.468,0.158,0.212
0.265,0.296,0.249,0.191
0.416,0.062,0.087,0.435
0.481,0.057,0.109,0.353
0.415,0.068,0.121,0.396
0.566,0.040,0.100,0.294
0.454,0.058,0.061,0.428
0.586,0.074,0.118,0.222
0.452,0.084,0.088,0.376
0.422,0.039,0.046,0.493
0.556,0.035,0.039,0.369
0.368,0.098,0.190,0.343
0.425,0.043,0.089,0.443
0.431,0.051,0.064,0.455
0.558,0.055,0.076,0.310
0.514,0.041,0.068,0.376
0.426,0.097,0.128,0.349
0.474,0.096,0.140,0.290
0.339,0.116,0.152,0.394
0.525,0.042,0.090,0.343
0.504,0.069,0.129,0.298
0.541,0.061,0.122,0.276
0.326,0.081,0.098,0.495
0.401,0.062,0.084,0.454
0.417,0.073,0.095,0.415
0.536,0.052,0.078,0.334
0.608,0.043,0.060,0.289
0.521,0.054,0.064,0.362
0.345,0.051,0.091,0.513
0.502,0.082,0.132,0.284
0.336,0.086,0.120,0.458
0.497,0.050,0.059,0.394
0.472,0.054,0.065,0.409
0.366,0.078,0.073,0.483
0.518,0.080,0.069,0.334
0.602,0.090,0.107,0.201
0.353,0.057,0.065,0.526
0.499,0.046,0.056,0.399
0.478,0.049,0.044,0.429
0.437,0.041,0.056,0.466
0.619,0.055,0.091,0.235
0.306,0.094,0.160,0.439
0.452,0.048,0.079,0.421
0.489,0.084,0.106,0.321
0.372,0.040,0.067,0.522
0.460,0.042,0.059,0.438
0.311,0.052,0.068,0.569
0.493,0.041,0.075,0.390
0.442,0.041,0.071,0.446
0.645,0.042,0.061,0.252
0.426,0.026,0.043,0.505
0.507,0.015,0.047,0.431
0.620,0.027,0.037,0.317
0.464,0.049,0.074,0.413
0.474,0.057,0.084,0.385
0.493,0.044,0.083,0.380
0.493,0.087,0.075,0.346
0.416,0.030,0.051,0.503
0.426,0.062,0.074,0.437
0.311,0.073,0.108,0.507
0.665,0.038,0.108,0.190
0.461,0.083,0.120,0.335
0.422,0.092,0.086,0.401
0.385,0.083,0.068,0.465
0.348,0.357,0.136,0.159
0.457,0.183,0.209,0.151
0.257,0.359,0.208,0.175
0.502,0.110,0.273,0.116
0.408,0.200,0.217,0.175
0.226,0.393,0.166,0.215
0.477,0.102,0.222,0.199
0.242,0.320,0.232,0.205
0.318,0.195,0.301,0.186
0.235,0.476,0.203,0.086
0.294,0.318,0.162,0.227
